iter	Passed	Remaining
0	1	1413
1	2	1324
2	3	1324
3	5	1328
4	6	1317
5	8	1359
6	9	1401
7	11	1444
8	12	1410
9	14	1429
10	16	1440
11	17	1449
12	19	1461
13	20	1475
14	22	1468
15	23	1464
16	25	1459
17	26	1433
18	27	1418
19	28	1417
20	30	1431
21	32	1435
22	33	1434
23	35	1436
24	36	1435
25	38	1432
26	39	1434
27	41	1426
28	42	1429
29	44	1422
30	45	1422
31	46	1416
32	48	1415
33	49	1410
34	50	1405
35	52	1401
36	53	1398
37	55	1394
38	56	1393
39	57	1385
40	59	1380
41	60	1376
42	61	1373
43	63	1371
44	64	1371
45	65	1367
46	67	1365
47	68	1360
48	70	1363
49	71	1357
50	72	1353
51	74	1350
52	75	1346
53	76	1344
54	78	1344
55	79	1340
56	81	1340
57	82	1339
58	84	1340
59	85	1337
60	86	1336
61	88	1332
62	89	1328
63	90	1325
64	92	1323
65	93	1318
66	94	1316
67	95	1314
68	97	1310
69	98	1307
70	99	1303
71	100	1299
72	101	1294
73	103	1291
74	104	1288
75	105	1284
76	106	1280
77	108	1277
78	109	1272
79	110	1267
80	111	1263
81	112	1260
82	113	1250
83	114	1246
84	115	1244
85	116	1242
86	118	1241
87	119	1238
88	120	1237
89	122	1237
90	123	1235
91	125	1234
92	126	1235
93	127	1231
94	129	1230
95	130	1228
96	131	1225
97	132	1222
98	134	1219
99	134	1214
100	136	1211
101	137	1209
102	138	1206
103	139	1203
104	141	1202
105	142	1198
106	142	1192
107	143	1189
108	145	1188
109	146	1186
110	147	1183
111	148	1180
112	149	1177
113	151	1174
114	152	1173
115	153	1170
116	154	1165
117	156	1167
118	157	1163
119	158	1161
120	159	1159
121	160	1156
122	161	1153
123	162	1150
124	164	1148
125	165	1145
126	166	1143
127	167	1140
128	168	1139
129	169	1137
130	171	1138
131	173	1142
132	174	1139
133	176	1137
134	177	1135
135	178	1134
136	179	1132
137	180	1129
138	182	1129
139	183	1127
140	184	1126
141	185	1121
142	186	1119
143	188	1120
144	189	1117
145	190	1115
146	191	1113
147	193	1111
148	194	1110
149	195	1108
150	196	1106
151	198	1105
152	199	1104
153	200	1102
154	201	1100
155	203	1098
156	204	1096
157	205	1094
158	206	1094
159	208	1092
160	208	1088
161	210	1086
162	211	1085
163	212	1084
164	214	1083
165	215	1081
166	216	1080
167	218	1081
168	219	1078
169	220	1077
170	222	1076
171	223	1074
172	224	1073
173	226	1073
174	227	1071
175	228	1070
176	230	1070
177	231	1070
178	232	1068
179	234	1066
180	235	1065
181	236	1064
182	237	1062
183	239	1060
184	240	1059
185	241	1058
186	242	1056
187	244	1054
188	245	1052
189	247	1053
190	248	1050
191	249	1048
192	250	1046
193	251	1045
194	252	1043
195	254	1042
196	255	1040
197	256	1038
198	257	1037
199	258	1035
200	260	1033
201	261	1031
202	262	1029
203	263	1027
204	264	1025
205	265	1024
206	267	1023
207	268	1021
208	269	1020
209	270	1018
210	272	1017
211	273	1015
212	274	1014
213	275	1012
214	277	1011
215	278	1009
216	279	1008
217	280	1006
218	281	1004
219	282	1003
220	284	1001
221	285	1000
222	286	998
223	287	997
224	289	996
225	290	994
226	291	992
227	292	990
228	293	988
229	294	986
230	296	985
231	297	983
232	298	982
233	299	980
234	300	979
235	302	978
236	303	977
237	304	975
238	305	973
239	306	971
240	308	970
241	309	969
242	310	966
243	311	964
244	312	963
245	313	961
246	314	960
247	316	958
248	317	956
249	318	955
250	319	954
251	321	953
252	322	952
253	323	950
254	324	949
255	326	947
256	327	946
257	328	945
258	329	944
259	331	943
260	332	940
261	333	938
262	334	936
263	335	934
264	336	933
265	337	931
266	338	929
267	339	927
268	340	926
269	341	924
270	343	923
271	344	921
272	345	920
273	346	918
274	347	916
275	348	914
276	349	912
277	350	910
278	351	909
279	353	907
280	354	906
281	355	904
282	356	902
283	357	901
284	358	899
285	359	898
286	360	896
287	361	894
288	363	893
289	364	892
290	365	890
291	366	888
292	367	886
293	368	885
294	369	884
295	371	882
296	372	881
297	373	879
298	374	878
299	375	876
300	376	874
301	377	872
302	378	871
303	379	869
304	381	868
305	382	866
306	383	864
307	384	863
308	385	861
309	386	860
310	387	858
311	388	857
312	389	855
313	390	853
314	391	852
315	393	850
316	394	849
317	395	847
318	396	846
319	397	844
320	398	842
321	399	841
322	400	839
323	401	838
324	403	837
325	403	835
326	404	833
327	406	831
328	407	830
329	408	829
330	409	827
331	410	826
332	411	824
333	412	823
334	413	821
335	415	820
336	416	818
337	417	817
338	418	815
339	419	814
340	420	813
341	422	812
342	423	810
343	424	809
344	426	808
345	427	807
346	428	806
347	429	805
348	431	804
349	433	804
350	433	802
351	434	800
352	435	798
353	436	797
354	437	795
355	439	794
356	440	792
357	441	791
358	442	789
359	443	788
360	444	787
361	445	785
362	446	783
363	447	782
364	449	781
365	450	779
366	451	778
367	452	776
368	453	775
369	454	774
370	455	772
371	457	771
372	458	770
373	459	768
374	460	766
375	461	765
376	462	764
377	463	762
378	464	761
379	465	760
380	466	758
381	467	757
382	469	755
383	470	754
384	471	753
